,dep,semaine,pop,P,T,Ti,Tp,Td,cl_age90
503,48,2020-S23,"76286,00","0,00","292,00","0,00","0,00","382,77",0
504,48,2020-S24,"76286,00","0,00","247,00","0,00","0,00","323,78",0
505,48,2020-S25,"76286,00","0,00","243,00","0,00","0,00","318,54",0
506,48,2020-S26,"76286,00","0,00","272,00","0,00","0,00","356,55",0
507,49,2020-S23,"815881,00","35,00","1950,00","4,29","1,79","239,01",0
508,49,2020-S24,"815881,00","48,00","2254,00","5,88","2,13","276,27",0
509,49,2020-S25,"815881,00","29,00","2431,00","3,55","1,19","297,96",0
510,49,2020-S26,"815881,00","20,00","2088,00","2,45","0,96","255,92",0
511,50,2020-S23,"490669,00","2,00","1005,00","0,41","0,20","204,82",0
512,50,2020-S24,"490669,00","4,00","1177,00","0,82","0,34","239,88",0
513,50,2020-S25,"490669,00","3,00","1337,00","0,61","0,22","272,49",0
514,50,2020-S26,"490669,00","4,00","1493,00","0,82","0,27","304,28",0
515,51,2020-S23,"563823,00","105,00","1824,00","18,62","5,76","323,51",0
516,51,2020-S24,"563823,00","34,00","2563,00","6,03","1,33","454,58",0
517,51,2020-S25,"563823,00","14,00","2849,00","2,48","0,49","505,30",0
518,51,2020-S26,"563823,00","5,00","2471,00","0,89","0,20","438,26",0
519,52,2020-S23,"169250,00","4,00","446,00","2,36","0,90","263,52",0
520,52,2020-S24,"169250,00","8,00","538,00","4,73","1,49","317,87",0
521,52,2020-S25,"169250,00","7,00","467,00","4,14","1,50","275,92",0
522,52,2020-S26,"169250,00","4,00","752,00","2,36","0,53","444,31",0
523,53,2020-S23,"305365,00","14,00","612,00","4,58","2,29","200,42",0
524,53,2020-S24,"305365,00","4,00","589,00","1,31","0,68","192,88",0
525,53,2020-S25,"305365,00","5,00","573,00","1,64","0,87","187,64",0
526,53,2020-S26,"305365,00","20,00","682,00","6,55","2,93","223,34",0
527,54,2020-S23,"730398,00","167,00","4181,00","22,86","3,99","572,43",0
528,54,2020-S24,"730398,00","154,00","7653,00","21,08","2,01","1047,78",0
529,54,2020-S25,"730398,00","109,00","7641,00","14,92","1,43","1046,14",0
530,54,2020-S26,"730398,00","40,00","9568,00","5,48","0,42","1309,97",0
531,55,2020-S23,"181641,00","29,00","978,00","15,97","2,97","538,42",0
532,55,2020-S24,"181641,00","27,00","1241,00","14,86","2,18","683,22",0
533,55,2020-S25,"181641,00","15,00","1426,00","8,26","1,05","785,07",0
534,55,2020-S26,"181641,00","4,00","1345,00","2,20","0,30","740,47",0
535,56,2020-S23,"755566,00","5,00","1539,00","0,66","0,32","203,69",0
536,56,2020-S24,"755566,00","1,00","1354,00","0,13","0,07","179,20",0
537,56,2020-S25,"755566,00","9,00","1444,00","1,19","0,62","191,12",0
538,56,2020-S26,"755566,00","14,00","1606,00","1,85","0,87","212,56",0
539,57,2020-S23,"1035866,00","61,00","3381,00","5,89","1,80","326,39",0
540,57,2020-S24,"1035866,00","39,00","3762,00","3,76","1,04","363,17",0
541,57,2020-S25,"1035866,00","32,00","4148,00","3,09","0,77","400,44",0
542,57,2020-S26,"1035866,00","34,00","4247,00","3,28","0,80","410,00",0
543,58,2020-S23,"199596,00","2,00","552,00","1,00","0,36","276,56",0
544,58,2020-S24,"199596,00","2,00","606,00","1,00","0,33","303,61",0
545,58,2020-S25,"199596,00","2,00","721,00","1,00","0,28","361,23",0
546,58,2020-S26,"199596,00","1,00","761,00","0,50","0,13","381,27",0
547,59,2020-S23,"2588988,00","213,00","9167,00","8,23","2,32","354,08",0
548,59,2020-S24,"2588988,00","251,00","11265,00","9,69","2,23","435,11",0
549,59,2020-S25,"2588988,00","175,00","10414,00","6,76","1,68","402,24",0
550,59,2020-S26,"2588988,00","178,00","11256,00","6,88","1,58","434,76",0
551,60,2020-S23,"825077,00","24,00","1493,00","2,91","1,61","180,95",0
552,60,2020-S24,"825077,00","9,00","1801,00","1,09","0,50","218,28",0
553,60,2020-S25,"825077,00","17,00","1615,00","2,06","1,05","195,74",0
554,60,2020-S26,"825077,00","29,00","2161,00","3,51","1,34","261,91",0
555,61,2020-S23,"276903,00","9,00","890,00","3,25","1,01","321,41",0
556,61,2020-S24,"276903,00","7,00","1004,00","2,53","0,70","362,58",0
557,61,2020-S25,"276903,00","18,00","1331,00","6,50","1,35","480,67",0
558,61,2020-S26,"276903,00","7,00","1749,00","2,53","0,40","631,63",0
559,62,2020-S23,"1452778,00","83,00","3886,00","5,71","2,14","267,49",0
560,62,2020-S24,"1452778,00","51,00","4600,00","3,51","1,11","316,63",0
561,62,2020-S25,"1452778,00","47,00","4379,00","3,24","1,07","301,42",0
562,62,2020-S26,"1452778,00","57,00","5053,00","3,92","1,13","347,82",0
563,63,2020-S23,"660240,00","1,00","2520,00","0,15","0,04","381,68",0
564,63,2020-S24,"660240,00","5,00","2232,00","0,76","0,22","338,06",0
565,63,2020-S25,"660240,00","5,00","2329,00","0,76","0,21","352,75",0
566,63,2020-S26,"660240,00","6,00","2707,00","0,91","0,22","410,00",0
567,64,2020-S23,"683169,00","13,00","2683,00","1,90","0,48","392,73",0
568,64,2020-S24,"683169,00","1,00","1335,00","0,15","0,07","195,41",0
569,64,2020-S25,"683169,00","3,00","1449,00","0,44","0,21","212,10",0
570,64,2020-S26,"683169,00","4,00","2024,00","0,59","0,20","296,27",0
571,65,2020-S23,"226839,00","1,00","604,00","0,44","0,17","266,27",0
572,65,2020-S24,"226839,00","2,00","688,00","0,88","0,29","303,30",0
573,65,2020-S25,"226839,00","2,00","630,00","0,88","0,32","277,73",0
574,65,2020-S26,"226839,00","1,00","636,00","0,44","0,16","280,38",0
575,66,2020-S23,"479000,00","1,00","1042,00","0,21","0,10","217,54",0
576,66,2020-S24,"479000,00","0,00","1072,00","0,00","0,00","223,80",0
577,66,2020-S25,"479000,00","0,00","1026,00","0,00","0,00","214,20",0
578,66,2020-S26,"479000,00","0,00","1191,00","0,00","0,00","248,64",0
579,67,2020-S23,"1132607,00","49,00","5631,00","4,33","0,87","497,17",0
580,67,2020-S24,"1132607,00","42,00","5738,00","3,71","0,73","506,62",0
581,67,2020-S25,"1132607,00","32,00","5096,00","2,83","0,63","449,94",0
582,67,2020-S26,"1132607,00","17,00","5406,00","1,50","0,31","477,31",0
583,68,2020-S23,"763204,00","34,00","2828,00","4,45","1,20","370,54",0
584,68,2020-S24,"763204,00","25,00","3047,00","3,28","0,82","399,24",0
585,68,2020-S25,"763204,00","37,00","3513,00","4,85","1,05","460,30",0
586,68,2020-S26,"763204,00","47,00","3962,00","6,16","1,19","519,13",0
587,69,2020-S23,"1876051,00","73,00","5983,00","3,89","1,22","318,91",0
588,69,2020-S24,"1876051,00","59,00","5712,00","3,14","1,03","304,47",0
589,69,2020-S25,"1876051,00","83,00","5946,00","4,42","1,40","316,94",0
590,69,2020-S26,"1876051,00","108,00","7193,00","5,76","1,50","383,41",0
591,70,2020-S23,"233194,00","6,00","834,00","2,57","0,72","357,64",0
592,70,2020-S24,"233194,00","5,00","950,00","2,14","0,53","407,39",0
593,70,2020-S25,"233194,00","2,00","1025,00","0,86","0,20","439,55",0
594,70,2020-S26,"233194,00","0,00","840,00","0,00","0,00","360,22",0
595,71,2020-S23,"547824,00","10,00","1788,00","1,83","0,56","326,38",0
596,71,2020-S24,"547824,00","6,00","1785,00","1,10","0,34","325,83",0
597,71,2020-S25,"547824,00","6,00","1638,00","1,10","0,37","299,00",0
598,71,2020-S26,"547824,00","8,00","1778,00","1,46","0,45","324,56",0
599,72,2020-S23,"560227,00","16,00","1559,00","2,86","1,03","278,28",0
600,72,2020-S24,"560227,00","9,00","1414,00","1,61","0,64","252,40",0
601,72,2020-S25,"560227,00","18,00","1126,00","3,21","1,60","200,99",0
602,72,2020-S26,"560227,00","12,00","1432,00","2,14","0,84","255,61",0
603,73,2020-S23,"432548,00","7,00","1130,00","1,62","0,62","261,24",0
604,73,2020-S24,"432548,00","5,00","1237,00","1,16","0,40","285,98",0
605,73,2020-S25,"432548,00","6,00","1440,00","1,39","0,42","332,91",0
606,73,2020-S26,"432548,00","5,00","1507,00","1,16","0,33","348,40",0
607,74,2020-S23,"828405,00","12,00","1547,00","1,45","0,78","186,74",0
608,74,2020-S24,"828405,00","6,00","1601,00","0,72","0,37","193,26",0
609,74,2020-S25,"828405,00","16,00","1655,00","1,93","0,97","199,78",0
610,74,2020-S26,"828405,00","16,00","2107,00","1,93","0,76","254,34",0
611,75,2020-S23,"2148271,00","170,00","9135,00","7,91","1,86","425,23",0
612,75,2020-S24,"2148271,00","162,00","10242,00","7,54","1,58","476,76",0
613,75,2020-S25,"2148271,00","141,00","10638,00","6,56","1,33","495,19",0
614,75,2020-S26,"2148271,00","132,00","10564,00","6,14","1,25","491,74",0
615,76,2020-S23,"1243788,00","17,00","2182,00","1,37","0,78","175,43",0
616,76,2020-S24,"1243788,00","52,00","2459,00","4,18","2,11","197,70",0
617,76,2020-S25,"1243788,00","105,00","3702,00","8,44","2,84","297,64",0
618,76,2020-S26,"1243788,00","110,00","8333,00","8,84","1,32","669,97",0
619,77,2020-S23,"1423607,00","80,00","5023,00","5,62","1,59","352,84",0
620,77,2020-S24,"1423607,00","60,00","5395,00","4,21","1,11","378,97",0
621,77,2020-S25,"1423607,00","46,00","5204,00","3,23","0,88","365,55",0
622,77,2020-S26,"1423607,00","62,00","5717,00","4,36","1,08","401,59",0
623,78,2020-S23,"1448625,00","87,00","4069,00","6,01","2,14","280,89",0
624,78,2020-S24,"1448625,00","81,00","4560,00","5,59","1,78","314,78",0
625,78,2020-S25,"1448625,00","98,00","4230,00","6,77","2,32","292,00",0
626,78,2020-S26,"1448625,00","104,00","5149,00","7,18","2,02","355,44",0
627,79,2020-S23,"372627,00","8,00","850,00","2,15","0,94","228,11",0
628,79,2020-S24,"372627,00","8,00","730,00","2,15","1,10","195,91",0
629,79,2020-S25,"372627,00","8,00","1365,00","2,15","0,59","366,32",0
630,79,2020-S26,"372627,00","8,00","1096,00","2,15","0,73","294,13",0
631,80,2020-S23,"569769,00","20,00","2156,00","3,51","0,93","378,40",0
632,80,2020-S24,"569769,00","11,00","2113,00","1,93","0,52","370,85",0
633,80,2020-S25,"569769,00","17,00","1859,00","2,98","0,91","326,27",0
634,80,2020-S26,"569769,00","8,00","1957,00","1,40","0,41","343,47",0
635,81,2020-S23,"387898,00","3,00","1157,00","0,77","0,26","298,27",0
636,81,2020-S24,"387898,00","1,00","1456,00","0,26","0,07","375,36",0
637,81,2020-S25,"387898,00","2,00","1059,00","0,52","0,19","273,01",0
638,81,2020-S26,"387898,00","1,00","987,00","0,26","0,10","254,45",0
639,82,2020-S23,"262618,00","1,00","523,00","0,38","0,19","199,15",0
